gene,log2FC,pvalue
201710_at,1.6018655138394067,1.1206812825372062e-10
201725_at,1.0647033296793644,4.8118285469223865e-18
201727_s_at,1.041541479857493,7.718438473182245e-14
201729_s_at,-1.0574874184708136,7.586931007454705e-09
201744_s_at,-1.082281356536038,5.335209196576135e-08
201755_at,1.423143674979447,7.185569346987273e-21
201774_s_at,2.236709260071252,2.332626404211308e-19
201792_at,-1.6723606577144423,9.62732895472641e-11
201795_at,1.5646584023019994,1.1635587299010608e-21
201819_at,1.1888576979994525,3.280007020636693e-09
201820_at,2.8224104421759386,1.4000034084805839e-07
201825_s_at,-1.309393069334062,6.611617834776484e-08
201826_s_at,-1.4671166264730058,9.709647963825346e-09
201833_at,1.042788303644837,1.1182933088478273e-14
201841_s_at,-1.0645492354069575,2.505731273235579e-07
201842_s_at,-1.1018269553302265,0.0010390629346170722
201852_x_at,-1.2822003535215138,1.5580308219037324e-10
201860_s_at,-2.8540749547821314,1.714660082772737e-13
201884_at,-2.602962260893395,1.4403029792533353e-05
201887_at,-1.2168986187996698,1.3030985694324908e-16
201888_s_at,-1.0528677582899428,4.350904756092554e-09
201890_at,1.5945373965469969,7.74449784781122e-07
201893_x_at,-1.544654124417649,2.071116400351292e-08
201896_s_at,2.0738454261441515,2.9756254591457605e-14
201897_s_at,1.542544212112908,3.80161726316218e-19
201930_at,1.316374179227184,8.4990725651985e-16
201939_at,-1.7907981200328855,1.832020256018652e-14
201940_at,-1.4010824308029592,1.4937998783667633e-09
201941_at,-1.5156432228007688,3.8633156201973893e-13
201943_s_at,-1.0744636832008787,0.00015403848785917884
201951_at,-2.2728664593039163,8.600817208709274e-16
201952_at,-2.4346305261715564,2.345333553145265e-16
201969_at,1.254592392436284,1.8786556403244295e-12
201970_s_at,1.0593894628665375,3.0451072094749326e-17
201976_s_at,1.1167272787064952,4.948251492327058e-06
201983_s_at,2.1230315045217854,1.6170486788365577e-08
201984_s_at,1.7004632365031513,1.0412781194678959e-09
202016_at,-1.1896833598246088,0.0029146324896779175
202035_s_at,3.3852494984927377,1.0668406732554748e-16
202036_s_at,4.01498092080022,1.5303123140526803e-13
202037_s_at,4.206916684023018,9.324099954356482e-11
202086_at,1.2125775472732254,0.00028655182057596657
202088_at,-1.7479843518772284,4.661680939834961e-14
202089_s_at,-2.149241529186078,1.981679616755337e-12
202094_at,2.556648259249109,2.401849617344565e-16
